"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Haben Sie schon einmal mit einem Unternehmen in Social Media interagiert? ","Bitte bewerten Sie die folgende Aussage. [Mir ist es wichtig, mit Unternehmen in Social Media interagieren zu können.]","Kennen Sie das Fediverse?","Nutzen Sie das Fediverse? ","Wofür nutzen Sie das Fediverse?    [Mit Freunden und Familie in Kontakt bleiben]","Wofür nutzen Sie das Fediverse?    [Neue Stories lesen]","Wofür nutzen Sie das Fediverse?    [Auffinden von Content]","Wofür nutzen Sie das Fediverse?    [Diskussionsthemen finden]","Wofür nutzen Sie das Fediverse?    [Unternehmungen finden]","Wofür nutzen Sie das Fediverse?    [Produkte finden]","Wofür nutzen Sie das Fediverse?    [Teilen und Diskutieren von Meinungen]","Wofür nutzen Sie das Fediverse?    [Neue Kontakte knüpfen]","Wofür nutzen Sie das Fediverse?    [Arbeitsbezogenes Networking oder Nachforschen]","Wofür nutzen Sie das Fediverse?    [Berühmten Persönlichkeiten oder Influencern folgen]","Wofür nutzen Sie das Fediverse?    [Posts über das eigene Leben verfassen]","Weshalb nutzen Sie das Fediverse nicht?  [Kein Interesse]","Weshalb nutzen Sie das Fediverse nicht?  [Zu kompliziert]","Weshalb nutzen Sie das Fediverse nicht?  [Die Plattformen gefallen mir nicht]","Weshalb nutzen Sie das Fediverse nicht?  [Mir fehlen Funktionen]","Weshalb nutzen Sie das Fediverse nicht?  [Zu wenig Nutzer]","Weshalb nutzen Sie das Fediverse nicht?  [Ich finde keinen passenden Content]","Weshalb nutzen Sie das Fediverse nicht?  [Sicherheitsbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Datenschutzbedenken]","Weshalb nutzen Sie das Fediverse nicht?  [Noch nicht eingehend damit beschäftigt]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass größere Transparenz bei der Anwendung, den Protokollen und dem Datenaustausch gegeben ist.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge eine Plattform, bei der Daten und Kontrolle auf viele verschiedene Gruppen verteilt sind, anstatt eine Plattform, bei der alles von einer einzigen Organisation kontrolliert wird.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass hohe Datenschutzstandards eingehalten werden.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bevorzuge einen Account für alle Plattformen, statt je Plattform einen eigenen Account zu haben.]","Bewerten Sie bitte die folgenden Aussagen. [Social-Media-Plattformen sollten durch den Verkauf von Nutzerdaten oder Werbung monetarisiert werden.]","Bewerten Sie bitte die folgenden Aussagen. [Dem Einsatz von algorithmischen Ranking-Systemen zur Priorisierung von Content stehe ich positiv gegenüber.]","Bewerten Sie bitte die folgenden Aussagen. [Ich stehe Unternehmen positiv gegenüber, die auf Social Media Marketing, Verkauf und Service anbieten.]","Bewerten Sie bitte die folgenden Aussagen. [Ich bewerte die Übernahmemöglichkeit von Social-Media-Plattformen durch andere Unternehmen als positiv.]","Bewerten Sie bitte die folgenden Aussagen. [Es ist mir wichtig, dass politische Unabhängigkeit und Neutralität gegeben sind.]","Wie wünschenswert ist es Ihrer Meinung nach, dass im Fediverse mehr Unternehmen repräsentiert sind, um mit Ihnen zu interagieren?","Wie alt sind Sie?","Welchem Geschlecht fühlen Sie sich zugehörig? ","Was ist derzeitiger Berufsstatus?"
"22","1980-01-01 00:00:00","6","de","695067103","1","A4","1","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","1","L7","L6","L6","L5","L4","L5","L4","L2","L4","LUF4","DEM13","33840","DEM32"
"23","1980-01-01 00:00:00","6","de","1309088161","1","A5","1","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","1","L7","L5","L7","L2","L4","L6","L5","L4","L7","LUF6","DEM13","33840","DEM37"
"24","1980-01-01 00:00:00","6","de","1557439702","1","A2","1","2","","","","","","","","","","","","1","0","0","0","1","1","0","0","1","L5","L3","L5","L7","L3","L5","L4","L5","L6","LUF5","DEM13","33840","DEM32"
"25","","1","de","1510172099","1","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","1980-01-01 00:00:00","6","de","761305252","1","A3","1","2","","","","","","","","","","","","1","0","1","0","0","0","0","0","0","L1","L2","L3","L4","L6","L7","L5","L4","L6","LUF6","DEM13","33840","DEM31"
"27","1980-01-01 00:00:00","6","de","750220165","2","A4","2","","","","","","","","","","","","","","","","","","","","","","L4","L4","L4","L4","L4","L4","L4","L4","L4","LUF4","DEM13","33840","DEM32"
"28","1980-01-01 00:00:00","6","de","1668478909","2","A1","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L7","L4","L1","L4","L2","L2","L6","LUF5","DEM16","33840","DEM32"
"29","1980-01-01 00:00:00","6","de","372563925","2","A3","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L6","L1","L4","L4","L4","L7","LUF4","DEM16","47169","DEM36"
"30","1980-01-01 00:00:00","6","de","1037280220","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L5","L5","L2","L4","L4","L3","L6","LUF4","DEM13","47169","DEM32"
"31","1980-01-01 00:00:00","6","de","1587984160","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L5","L1","L7","L5","L7","L1","L3","L3","L7","LUF4","DEM12","33840","DEM38"
"32","","2","de","1844907787","1","A6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","1980-01-01 00:00:00","6","de","1770412069","1","A4","1","1","0","0","1","0","0","0","0","0","0","0","0","","","","","","","","","","L7","L7","L7","L1","L4","L3","L4","L1","L5","LUF4","DEM15","33840","DEM32"
"34","1980-01-01 00:00:00","6","de","1557506801","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L5","L2","L7","L1","L2","L3","L5","L1","L1","LUF6","DEM15","33840","DEM32"
"35","1980-01-01 00:00:00","6","de","1537580488","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L6","L6","L3","L5","L5","L4","L5","LUF5","DEM13","47169","DEM37"
"36","1980-01-01 00:00:00","6","de","349423945","2","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L3","L6","L5","L2","L3","L5","L3","L7","LUF4","DEM14","33840","DEM32"
"37","","","de","117825224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","1980-01-01 00:00:00","6","de","115270610","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L4","L5","L6","L7","L3","L5","L5","L4","L7","LUF7","DEM12","33840","DEM31"
"39","1980-01-01 00:00:00","6","de","1312445046","1","A3","1","2","","","","","","","","","","","","1","0","0","0","0","0","0","0","1","L7","L3","L7","L7","L1","L1","L1","L1","L4","LUF7","DEM13","47169","DEM37"
"40","1980-01-01 00:00:00","6","de","315070461","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L4","L4","L4","L5","L4","L4","L5","L4","L4","LUF4","DEM13","47169","DEM32"
"41","1980-01-01 00:00:00","6","de","761089602","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L6","L4","L5","L5","L4","L5","L6","LUF4","DEM14","33840","DEM32"
"42","1980-01-01 00:00:00","6","de","993419290","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L6","L4","L3","L4","L4","L3","L5","LUF5","DEM14","33840","DEM32"
"43","1980-01-01 00:00:00","6","de","1390441242","2","A1","2","","","","","","","","","","","","","","","","","","","","","","L1","L4","L1","L1","L1","L1","L1","L4","L1","LUF1","DEM13","33840","DEM32"
"44","","2","de","865592517","1","A3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","1980-01-01 00:00:00","6","de","264345992","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L6","L3","L1","L6","L6","L4","L7","LUF5","DEM14","47169","DEM32"
"46","1980-01-01 00:00:00","6","de","1776623672","2","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L5","L7","L6","L3","L5","L5","L7","LUF4","DEM14","47169","DEM32"
"47","1980-01-01 00:00:00","6","de","1622774267","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L7","L4","L6","L4","L4","L7","LUF6","DEM15","33840","DEM32"
"48","","","de","1597511862","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","1980-01-01 00:00:00","6","de","2032431337","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L5","L7","L7","L1","L6","L6","L3","L7","LUF5","DEM15","47169","DEM32"
"50","1980-01-01 00:00:00","6","de","1189784760","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L7","L5","L7","L6","L1","L4","L1","L3","L5","LUF3","DEM14","33840","DEM32"
"51","1980-01-01 00:00:00","6","de","1863608147","1","A7","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L3","L3","L5","L4","L4","L4","LUF6","DEM13","33840","DEM37"
"52","1980-01-01 00:00:00","6","de","1763052164","1","A4","1","1","0","0","1","1","0","0","1","1","0","1","0","","","","","","","","","","L7","L5","L7","L6","L3","L5","L5","L2","L6","LUF7","DEM13","80437","DEM36"
"53","1980-01-01 00:00:00","6","de","1965249928","2","A1","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L7","L4","L4","L3","L3","L3","L6","LUF4","DEM13","47169","DEM37"
"54","1980-01-01 00:00:00","6","de","44080910","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L6","L4","L2","L4","L5","L3","L6","LUF5","DEM14","47169","DEM32"
"55","","","de","752088616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","","","de","1090664522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","1980-01-01 00:00:00","6","de","576134695","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L5","L6","L6","L3","L4","L4","L6","LUF3","DEM14","47169","DEM32"
"58","1980-01-01 00:00:00","6","de","1441627713","1","A3","1","2","","","","","","","","","","","","1","0","0","0","0","0","0","0","1","L6","L5","L6","L5","L3","L3","L4","L3","L6","LUF4","DEM13","47169","DEM37"
"59","1980-01-01 00:00:00","6","de","292719941","1","A5","1","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","1","L7","L6","L7","L7","L3","L3","L4","L3","L5","LUF5","DEM13","47169","DEM32"
"60","1980-01-01 00:00:00","6","de","851266741","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L7","L5","L1","L4","L4","L2","L6","LUF5","DEM13","47169","DEM32"
"61","1980-01-01 00:00:00","6","de","1366302289","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L7","L2","L2","L2","L1","L2","L5","LUF4","DEM13","33840","DEM32"
"62","1980-01-01 00:00:00","6","de","1695296390","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L4","L1","L3","L4","L5","L7","LUF7","DEM12","33840","DEM31"
"63","1980-01-01 00:00:00","6","de","350794509","2","A2","2","","","","","","","","","","","","","","","","","","","","","","L7","L4","L7","L4","L4","L3","L3","L5","L3","LUF3","DEM13","47169","DEM37"
"64","","2","de","400102542","2","A1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","1980-01-01 00:00:00","6","de","2141980046","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L6","L7","L7","L6","L1","L2","L3","L1","L7","LUF4","DEM13","47169","DEM31"
"66","","3","de","464055937","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L6","L4","L5","L5","","","","","","","","",""
"67","1980-01-01 00:00:00","6","de","1633549648","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L6","L5","L2","L3","L3","L4","L6","LUF5","DEM13","47169","DEM37"
"68","1980-01-01 00:00:00","6","de","442523330","2","A2","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L6","L4","L2","L3","L4","L2","L6","LUF4","DEM13","47169","DEM36"
"69","1980-01-01 00:00:00","6","de","199128186","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L6","L6","L1","L2","L4","L4","L6","LUF7","DEM16","33840","DEM33"
"70","1980-01-01 00:00:00","6","de","717565118","1","A5","1","1","1","1","0","1","0","0","1","0","0","0","0","","","","","","","","","","L5","L6","L7","L5","L1","L2","L4","L2","L2","LUF3","DEM13","33840","DEM37"
"71","1980-01-01 00:00:00","6","de","873503504","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L5","L3","L5","L7","L3","L2","L7","L4","L6","LUF6","DEM13","47169","DEM32"
"72","1980-01-01 00:00:00","6","de","1272015722","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L6","L4","L7","L3","L3","L5","L3","L3","L6","LUF3","DEM13","33840","DEM32"
"73","","","de","42321837","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","1980-01-01 00:00:00","6","de","381213363","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L2","L3","L4","L5","L5","L7","LUF5","DEM12","33840","DEM31"
"75","","","de","789863163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1980-01-01 00:00:00","6","de","446699121","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L4","L6","L6","L5","L1","L2","L4","L3","L6","LUF3","DEM14","33840","DEM32"
"77","1980-01-01 00:00:00","6","de","1847055137","1","A4","1","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","L7","L7","L7","L4","L1","L1","L4","L4","L7","LUF4","DEM15","33840","DEM32"
"78","1980-01-01 00:00:00","6","de","78924932","1","A3","1","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","1","L7","L7","L7","L6","L1","L2","L2","L2","L7","LUF3","DEM13","47169","DEM32"
"79","1980-01-01 00:00:00","6","de","1804149941","1","A5","1","2","","","","","","","","","","","","1","0","0","0","0","0","0","0","1","L7","L3","L7","L6","L1","L3","L6","L6","L7","LUF6","DEM13","47169","DEM37"
"80","","-1","de","124335525","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","1980-01-01 00:00:00","6","de","183064557","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L7","L7","L5","L4","L5","L6","L6","L7","LUF7","DEM12","33840","DEM39"
"82","1980-01-01 00:00:00","6","de","177484428","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L7","L7","L2","L5","L5","L1","L5","LUF4","DEM13","33840","DEM32"
"83","","4","de","99388819","2","A2","2","","","","","","","","","","","","","","","","","","","","","","L7","L4","L7","L3","L2","L4","L4","L4","L7","","","",""
"84","1980-01-01 00:00:00","6","de","1154278975","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L7","L7","L1","L1","L5","L5","L2","L7","LUF5","DEM13","47169","DEM32"
"85","1980-01-01 00:00:00","6","de","733270058","1","A6","1","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","1","L7","L6","L7","L5","L1","L2","L5","L2","L7","LUF6","DEM13","33840","DEM33"
"86","","4","de","1422414305","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L7","L7","L7","L4","L1","L4","L4","L4","L7","LUF1","","",""
"87","1980-01-01 00:00:00","6","de","1269771626","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L7","L6","L3","L1","L1","L3","L4","L2","LUF7","DEM13","47169","DEM37"
"88","1980-01-01 00:00:00","6","de","1277916138","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L5","L7","L6","L4","L1","L4","L4","L4","L6","LUF4","DEM13","47169","DEM37"
"89","1980-01-01 00:00:00","6","de","753296678","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L4","L6","L2","L1","L5","L7","L4","L7","LUF4","DEM13","47169","DEM37"
"90","","","de","337521939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","2","de","186772559","1","A3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","1980-01-01 00:00:00","6","de","399671948","1","A6","1","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","1","L6","L6","L7","L4","L2","L4","L4","L4","L5","LUF5","DEM13","47169","DEM37"
"93","1980-01-01 00:00:00","6","de","986060935","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L6","L5","L6","L3","L6","L5","L7","LUF4","DEM14","33840","DEM32"
"94","1980-01-01 00:00:00","6","de","1929451993","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L7","L5","L2","L4","L6","L4","L3","LUF6","DEM15","47169","DEM32"
"95","1980-01-01 00:00:00","6","de","2146486097","2","A5","2","","","","","","","","","","","","","","","","","","","","","","L7","L6","L5","L5","L2","L2","L5","L6","L7","LUF4","DEM13","47169","DEM32"
"96","","","de","1846977566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","1980-01-01 00:00:00","6","de","705874347","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L5","L4","L2","L1","L4","L4","L6","LUF4","DEM13","33840","DEM31"
"98","1980-01-01 00:00:00","6","de","332633021","2","A4","2","","","","","","","","","","","","","","","","","","","","","","L6","L3","L6","L6","L2","L6","L5","L2","L6","LUF4","DEM15","47169","DEM37"
"99","1980-01-01 00:00:00","6","de","807030093","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L4","L5","L7","L5","L3","L5","L6","L2","L6","LUF5","DEM11","33840","DEM38"
"100","1980-01-01 00:00:00","6","de","1481032273","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L7","L1","L7","L7","L1","L6","L7","L5","L7","LUF5","DEM12","47169","DEM32"
"101","1980-01-01 00:00:00","6","de","61571899","1","A4","1","2","","","","","","","","","","","","1","0","0","0","1","0","0","0","1","L7","L7","L5","L3","L2","L5","L2","L3","L6","LUF4","DEM13","33840","DEM37"
"102","1980-01-01 00:00:00","6","de","1937377559","1","A1","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L7","L4","L2","L5","L7","L4","L5","LUF4","DEM12","47169","DEM33"
"103","1980-01-01 00:00:00","6","de","1684497794","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L2","L6","L3","L4","L5","L5","L4","L6","LUF4","DEM13","47169","DEM31"
"104","","2","de","1500269153","1","A6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","1980-01-01 00:00:00","6","de","860294791","1","A6","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L6","L2","L4","L6","L6","L2","L6","LUF6","DEM14","33840","DEM32"
"106","1980-01-01 00:00:00","6","de","1211430231","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L4","L5","L4","L2","L5","L4","L4","L6","LUF4","DEM12","47169","DEM31"
"107","1980-01-01 00:00:00","6","de","1220417929","1","A7","2","","","","","","","","","","","","","","","","","","","","","","L6","L5","L6","L6","L2","L3","L4","L4","L6","LUF5","DEM14","80437","DEM37"
"108","1980-01-01 00:00:00","6","de","734180620","2","A1","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L6","L4","L4","L2","L2","L4","L7","LUF4","DEM12","47169","DEM31"
"109","1980-01-01 00:00:00","6","de","1056474188","1","A3","2","","","","","","","","","","","","","","","","","","","","","","L6","L7","L7","L5","L7","L4","L6","L4","L7","LUF5","DEM12","33840","DEM31"
"110","1980-01-01 00:00:00","6","de","401920720","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L6","L4","L5","L6","L4","L2","L4","L3","L6","LUF5","DEM13","33840","DEM32"
"111","1980-01-01 00:00:00","6","de","1572362101","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L6","L3","L2","L1","L3","L3","L6","LUF4","DEM14","47169","DEM37"
"112","","","de","2125859353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"113","1980-01-01 00:00:00","6","de","315258428","1","A7","2","","","","","","","","","","","","","","","","","","","","","","L6","L6","L7","L7","L2","L5","L6","L2","L7","LUF5","DEM15","33840","DEM32"
"114","","2","de","47990058","1","A5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"115","","2","de","1484821774","1","A5","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116","1980-01-01 00:00:00","6","de","300662041","2","A5","2","","","","","","","","","","","","","","","","","","","","","","L4","L6","L6","L6","L5","L3","L6","L3","L7","LUF4","DEM12","47169","DEM31"
"117","","","de","2121283417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118","1980-01-01 00:00:00","6","de","719336943","2","A3","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L7","L7","L5","L5","L4","L6","L7","LUF5","DEM12","47169","DEM31"
"119","1980-01-01 00:00:00","6","de","1434668086","1","A4","2","","","","","","","","","","","","","","","","","","","","","","L5","L5","L7","L5","L3","L3","L4","L4","L7","LUF4","DEM13","52971","DEM32"
"120","1980-01-01 00:00:00","6","de","1701907668","1","A5","2","","","","","","","","","","","","","","","","","","","","","","L5","L6","L7","L6","L1","L5","L3","L3","L6","LUF5","DEM14","47169","DEM37"
